county,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,max,min
27129,0.1209777657439187,1.09998456471396,0.3882388884498414,0.9477956399664142,0.9399649859613765,0.0098840335464413,0.2419555314878374,0.5092166053232737,0.2672614278132679
27131,0.1326705616723444,1.1596039790674515,0.4395051894172549,0.9469001970860244,0.938935226648928,0.0121458384873985,0.2653411233446888,0.5721753764486744,0.3068346668965762
27133,0.1602633139688074,1.1404848752380874,0.4492754948773943,0.9456903286522652,0.9375438779501049,0.0181302464263529,0.3205266279376148,0.6095382557775664,0.2890122023742345
27135,0.1449966322578703,1.1330228665493545,0.3997401690803633,0.9430685636114438,0.9345288481531604,0.0155933381306912,0.2899932645157406,0.5447363519230701,0.2547435679225585
27137,0.1029062870495727,1.0151289197591085,0.3983365349245342,0.9488533672487012,0.9411813723360064,0.0069592849992795,0.2058125740991454,0.501242574381885,0.2954302944201123
27139,0.1549747281863233,1.1925493053837355,0.4603553640437134,0.9458707989928165,0.937751418841739,0.0169434356578903,0.3099494563726466,0.6153300324235219,0.3053810338071827
27141,0.1565347083625758,1.2360407361265418,0.4637852775052261,0.9524429761343116,0.9453094225544584,0.015115968557775,0.3130694167251516,0.6203198295071455,0.3072508037438901
27143,0.1277029540088745,1.1351559560818056,0.4064483424527655,0.961078724033554,0.9552405326385872,0.0081152101566411,0.255405908017749,0.5341511191083665,0.2787455279502979
27145,0.1326049498444887,1.1234081549087251,0.4362188868173385,0.9478863223159546,0.9400692706633478,0.0118707227161048,0.2652098996889774,0.5688237903828771,0.3036142905472912
27147,0.1480140582399534,1.2195285724076297,0.4437287460116063,0.9356650436064378,0.9260148001474034,0.018595979039958,0.2960281164799068,0.5917427384641392,0.2957150465857946
27149,0.1294594189104141,1.1049245219887007,0.3990880994246898,0.9419366762227374,0.933227177656148,0.0126710784079807,0.2589188378208282,0.5285475051882221,0.2696291503218368
27151,0.1366227005965828,1.1301890780153043,0.4159695957691089,0.9349186948260542,0.925156499049962,0.0159613138930979,0.2732454011931656,0.55259228828134,0.2793474310099103
27153,0.119034176472858,1.1135072006066469,0.41097716270626,0.951436576117357,0.9441520625349604,0.0088750558205958,0.238068352945716,0.5300111371229774,0.2919430871586895
27155,0.0864419166429015,0.9502223185288609,0.3558164472675361,0.9427878669674457,0.9342060470125624,0.0055022062489757,0.172883833285803,0.4422581762003373,0.269374579255733
27157,0.1308691762783624,1.167813509913138,0.419399108666754,0.9471831063844603,0.9392605723421296,0.0117572343224272,0.2617383525567248,0.5502682713131872,0.2885304052833604
27159,0.0988316408242628,1.0558179223674482,0.3887828521876268,0.950470881534366,0.9430415137645208,0.006222909873924,0.1976632816485256,0.487614464579794,0.2899514927367498
27161,0.1608373566458533,1.2108296321259704,0.4502654399489625,0.9387507546942218,0.929563367898355,0.0208266454364026,0.3216747132917066,0.6111026236134891,0.28942830976506
27163,0.1520675424290364,1.1765267126032208,0.4634031050677943,0.944307758658135,0.9359539224568552,0.016797954880363,0.3041350848580728,0.6154703532266319,0.3113356680493586
27165,0.1271350414369337,1.1567929012504845,0.4056200069072571,0.9480143238382543,0.9402164724139926,0.0109048360707022,0.2542700828738674,0.5327549711601468,0.2784852307466159
27167,0.1574738569583915,1.1269493852009411,0.4605329122998301,0.9466204936116048,0.9386135676533456,0.017173988126657,0.314947713916783,0.6180061928113422,0.303059070513587
27169,0.1325929395769796,1.1180498897934597,0.4298885856200777,0.9529168534704244,0.945854381490988,0.0106627981148799,0.2651858791539592,0.5624815245892815,0.2972962623571828
27171,0.1646796959028262,1.2366198467909002,0.4589468450626935,0.9498578538781354,0.9423365319598556,0.0176878689531015,0.3293593918056524,0.6236264836500622,0.2942675886934374
27173,0.1410914361005303,1.1589077965409134,0.3972092101089704,0.9426620585651952,0.9340613673499746,0.0148990910727821,0.2821828722010606,0.5382999801669199,0.2561177743748398
28001,0.1193839506227347,1.070587854069606,0.4082591387073996,0.9472722188036132,0.9393630516241552,0.0097087485252828,0.2387679012454694,0.5276425700337102,0.2888751903597528
28003,0.1657742772034291,1.1908742973515054,0.4612269181044049,0.9424734009952606,0.9338444111445496,0.020676399321828,0.3315485544068582,0.6270006548359567,0.2954526698709722
28005,0.1423786944383326,1.1487524434405314,0.405223361327381,0.9670660153211752,0.9621259176193516,0.0084897736054866,0.2847573888766652,0.5476020257739481,0.2628451102803439
28007,0.1480857365231961,1.199864958927642,0.4353303388257936,0.9468873719772508,0.9389204777738384,0.0151695959196536,0.2961714730463922,0.5834160737349418,0.2872452673971383
28009,0.157674784764247,1.2373824512678515,0.4226537154610959,0.9667088728312796,0.9617152037559716,0.0105785048561181,0.315349569528494,0.580328499819912,0.2649796751959593
28011,0.1239413698353505,1.077633532487891,0.4217079448607276,0.9418063921672274,0.9330773509923116,0.0116212707142574,0.247882739670701,0.5456489009910138,0.2977665945271891
28013,0.1623267243253196,1.2497252305723758,0.4346843251291593,0.9481925743506104,0.940421460503202,0.0177989969533583,0.3246534486506392,0.5970110417608792,0.2723582539855707
28015,0.1850378926855559,1.2362911269157846,0.4491068921550094,0.9572639521736536,0.9508535449997018,0.0188854888684332,0.3700757853711118,0.6341446596944798,0.2640693628040672
28017,0.168438220949422,1.2160751338272675,0.4360335303799429,0.9545528754821452,0.947735806804467,0.0166724213844776,0.336876441898844,0.6044712204849381,0.267595343297017
28019,0.1766743608588269,1.2709195232867072,0.4355709474942324,0.9538486522301048,0.9469259500646204,0.0186890353884432,0.3533487217176538,0.6122449486205436,0.2588966987855076
28021,0.1123559531908407,1.0617187106362118,0.3858430405958792,0.9648780530089568,0.9596097609603004,0.0056201720250141,0.2247119063816814,0.4981989861025561,0.2734875199779324
28023,0.1695448124297011,1.2551671528138222,0.4442478083984984,0.9613405151874778,0.9555415924655994,0.0142947562174571,0.3390896248594022,0.6137925076545262,0.274703331440604
